length of type fortress (i.e. how many constraints contained in the type fortress),total errors,total lines,"number of type fortress
 with length X",
1,165,43921,12095,0.003756745
2,69,36854,9993,0.001872253
3,115,3673,1348,0.031309556
4,14,6919,1687,0.002023414
5,12,1196,271,0.010033445
6,20,1556,429,0.01285347
7,8,1212,190,0.00660066
8,17,1252,220,0.013578275
9,20,740,91,0.027027027
10,12,349,49,0.034383954
11,7,243,41,0.028806584
12,8,2874,580,0.002783577
13,1,32,3,0.03125
14,15,502,77,0.029880478
15,18,315,29,0.057142857
16,6,120,23,0.05
17,4,40,5,0.1
18,11,82,14,0.134146341
19,1,7,1,0.142857143
20,4,47,6,0.085106383
21,2,46,4,0.043478261
23,2,38,3,0.052631579
24,12,57,7,0.210526316
25,3,32,3,0.09375
26,17,72,6,0.236111111
27,3,48,3,0.0625
28,3,54,5,0.055555556
29,2,278,7,0.007194245
31,1,12,2,0.083333333
32,1,84,4,0.011904762
33,4,14,2,0.285714286
36,1,20,1,0.05
37,54,1534,2,0.035202086
38,1,14,1,0.071428571
41,3,33,2,0.090909091
42,1,86,5,0.011627907
43,4,6,1,0.666666667
44,1,9,1,0.111111111
46,1,30,1,0.033333333
47,1,43,2,0.023255814
48,2,34,9,0.058823529
52,1,14,2,0.071428571
53,4,15,1,0.266666667
63,6,322,10,0.01863354
68,1,13,1,0.076923077
73,1,28,1,0.035714286
78,8,6,1,1.333333333
86,1,45,1,0.022222222
93,4,64,4,0.0625
97,1,42,2,0.023809524
103,1,53,1,0.018867925
113,10,68,1,0.147058824
118,9,8,1,1.125
136,4,4,1,1
139,2,74,1,0.027027027
235,4,112,4,0.035714286
401,2,135,1,0.014814815
490,7,110,1,0.063636364
540,6,223,1,0.02690583
1256,3,626,1,0.004792332
1442,15,698,1,0.021489971
1541,3,338,1,0.00887574
1542,7,1978,1,0.003538928
2230,19,790,1,0.024050633
3334,18,527,1,0.034155598
11449,28,4737,1,0.005910914